iter	MultiClass
271	0.09405378367
272	0.09364880579
273	0.09318230638
274	0.09276022476
275	0.09216893802
276	0.09176728899
277	0.09136139838
278	0.09090145309
279	0.09049430154
280	0.08996992984
281	0.08946653267
282	0.08910861295
283	0.08879268819
284	0.08836857256
285	0.08794842594
286	0.08753219346
287	0.08713322806
288	0.0865069665
289	0.08613151035
290	0.08573086396
291	0.08536809321
292	0.085057983
293	0.08467463515
294	0.08430678539
295	0.08389600354
296	0.08357872281
297	0.08325287627
298	0.08282002284
299	0.08235601338
300	0.08200877883
301	0.08158765706
302	0.08127001254
303	0.08097348214
304	0.08060901548
305	0.08020182907
306	0.07989865695
307	0.0796151878
308	0.07930069704
309	0.0790103923
310	0.07869755085
311	0.07844229984
312	0.07819302939
313	0.0778085911
314	0.07753229088
315	0.07728421862
316	0.07693731614
317	0.07653145224
318	0.07614438369
319	0.07581540967
320	0.07552125213
321	0.07525970161
322	0.07498319249
323	0.07462802734
324	0.07436826007
325	0.07408589044
326	0.07383001199
327	0.07355460272
328	0.07323081835
329	0.07296983785
330	0.07272444289
331	0.07249131723
332	0.07219812352
333	0.07193689679
334	0.07172486916
335	0.07143771214
336	0.07116620485
337	0.07091220089
338	0.0706467136
339	0.07039229628
340	0.07011004805
341	0.06982446211
342	0.06953558567
343	0.06931158526
344	0.06911027401
345	0.06884268153
346	0.06861173866
347	0.06839533146
348	0.06814928685
349	0.06789792378
350	0.06766658049
351	0.06743889899
352	0.06722899439
353	0.06693687643
354	0.06672397486
355	0.06651675023
356	0.06631323103
357	0.06609807942
358	0.06581554214
359	0.06561055638
360	0.06541353496
361	0.06521619406
362	0.06499158317
363	0.0647252914
364	0.06452524812
365	0.0643150668
366	0.06411360823
367	0.06386660628
368	0.0636725621
369	0.06343636441
370	0.06318162891
371	0.06296272848
372	0.06270471304
373	0.06249834832
374	0.06229516113
375	0.06208225265
376	0.06183111383
377	0.06160329767
378	0.06140786591
379	0.06123055644
380	0.06100690563
381	0.06083936678
382	0.06064948586
383	0.06043394925
384	0.06022846236
385	0.06004212663
386	0.05978235343
387	0.0595952751
388	0.05939895371
389	0.05920601416
390	0.05902897187
391	0.0588243806
392	0.05865228925
393	0.05849295665
394	0.05833113585
395	0.05812827383
396	0.05794094387
397	0.05779962566
398	0.05763320052
399	0.05744890717
400	0.05722287791
401	0.05706768
402	0.05689098582
403	0.0567127638
404	0.05657442094
405	0.05637860936
406	0.0562231197
407	0.05604281499
408	0.05586431553
409	0.05571809089
410	0.05554942189
411	0.05536975179
412	0.05522225175
413	0.05507844966
414	0.05490928095
415	0.05478223405
416	0.05462952421
417	0.05445940965
418	0.05424735199
419	0.05412314723
420	0.05393534267
421	0.0537940155
422	0.05365816585
423	0.05353663558
424	0.05336642139
425	0.05315557677
426	0.05298677338
427	0.05283037022
428	0.05267680261
429	0.05248807621
430	0.05233914989
431	0.05219817916
432	0.05205872309
433	0.05190313494
434	0.05177020765
435	0.05161650858
436	0.05141987444
437	0.05128671787
438	0.05114699474
439	0.05098476219
440	0.05085376941
441	0.05070492577
442	0.05057609229
443	0.05045526798
444	0.05032780951
445	0.05018478602
446	0.05003495076
447	0.04988934016
448	0.04973597746
449	0.04961242785
450	0.04949044005
451	0.04935918197
452	0.0492305812
453	0.04910614202
454	0.0489624858
455	0.04882109537
456	0.04866104004
457	0.04852396518
458	0.0483654636
459	0.04822083813
460	0.04809599356
461	0.04798794834
462	0.04787460133
463	0.0477201543
464	0.04758546103
465	0.04745155701
466	0.04729100017
467	0.04716640302
468	0.04704804912
469	0.04689896962
470	0.04676072166
471	0.04660195297
472	0.04649275661
473	0.04632469892
474	0.0461943775
475	0.04607831922
476	0.04597321143
477	0.04586285668
478	0.04576062239
479	0.0456556096
480	0.04555772135
481	0.04540676206
482	0.04529970647
483	0.04516607047
484	0.04505920642
485	0.04495147593
486	0.04485142768
487	0.04469690428
488	0.04457082666
489	0.04446182618
490	0.04434746839
491	0.04424441175
492	0.04414624389
493	0.0440319513
494	0.04390015611
495	0.04380497893
496	0.04370685761
497	0.0435992432
498	0.04348599564
499	0.0433748807
500	0.04326956234
501	0.04315096235
502	0.04305564344
503	0.04293900783
504	0.04284186023
505	0.04274267901
506	0.04263514456
507	0.04254469154
508	0.04243810868
509	0.04233007963
510	0.04222970097
511	0.04211769639
512	0.04201484059
513	0.04190268202
514	0.04179979933
515	0.04168054466
516	0.04157086011
517	0.04148644607
518	0.04136859052
519	0.04125807173
520	0.04117506691
521	0.04107449817
522	0.04098694162
523	0.04089503045
524	0.04080347757
525	0.04070498371
526	0.04060151568
527	0.04050223883
528	0.04040347165
529	0.04032306376
530	0.04025062778
531	0.04015305175
532	0.04005319037
533	0.03995508662
534	0.03984574778
535	0.03976626155
536	0.03966816774
537	0.03956002881
538	0.03948524501
539	0.03938102238
540	0.03930545572
541	0.03922496499
542	0.03913225716
543	0.03904495925
544	0.03895428477
545	0.03882873844
546	0.03875589053
547	0.03866705828
548	0.03859204338
549	0.03848916521
550	0.03839511527
551	0.03830527787
552	0.03822036829
553	0.03815366896
554	0.03806542875
555	0.03798569282
556	0.0378863577
557	0.03779721491
558	0.03769614212
559	0.03762210957
560	0.03754297743
561	0.03744613507
562	0.03736757959
563	0.03729165184
564	0.03719592457
565	0.03712456215
566	0.03705866134
567	0.03699084831
568	0.03692200848
569	0.03684733732
570	0.03676474547
571	0.0366967406
572	0.03661306461
573	0.03652757972
574	0.03645108573
575	0.03637881786
576	0.03630051407
577	0.03623418127
578	0.03614800475
579	0.03605801701
580	0.03600086282
581	0.03591748495
582	0.03585371624
583	0.03578329435
584	0.03570626562
585	0.03562246766
586	0.03554619223
587	0.03548556068
588	0.03540599781
589	0.03533393473
590	0.03526956434
591	0.03521542308
592	0.03512989347
593	0.03506879905
594	0.03500164656
595	0.03492683872
596	0.03486645453
597	0.03480146175
598	0.03473213717
599	0.03465488372
